address,value
0x00929C5c2c4f00B540e429247669Eb6fcd8b1DBF,0.078167824
0x00DACfD769BC30e4F64805761707573cB710552c,0.023909345
0x02074994a0C082f8eA4448f4fC2EB0Cce61e9443,0.000143234
0x027DfA380503A2BBc4e4691a0ffc10f81E00536e,0.000237438
0x0362630a31ebc56D06Db4606EFb19f26F9703a66,0.001175537
0x03894d4ac41Dd6C4c2f524eD4417C90fA46972c6,1.87E-05
0x03BC229A2F93DBafFBD7F1e527fa834F53c074A3,0.002945643
0x043D12be94AB0ED6D4a380C175CdDb1d32cd9642,0.010128758
0x046f601CbcBfa162228897AC75C9B61dAF5cEe5F,0.001110464
0x05e818959c2Aa4CD05EDAe9A099c38e7Bdc377C6,0.000954467
0x062132D1FEc4fdC336b44c8B82A8d688F92ADD8c,0.005904233
0x06a4ED9E4D6eA181CF300daa914008A03cE49579,0.001804081
0x0736d49738F2EEd8ABF86Cf51c532b0CB65BF077,9.07E-05
0x07d3067BE1F52B3D4d12Ee7ca3EcF74Cc9668dF6,0.000984342
0x080c9B708588c103034F22898212164f45eEC1a8,0.009798344
0x094a2ED822BEa563b622652FbD85f1b34749d02A,0.007946012
0x09700d103f4C4A13Dba21275a422D93f8271193F,0.069986259
0x09c64a95c610E7bf78EF481eA9C4Bf6756aD5351,0.000280602
0x0A18Cf21A902afF079375Ed2eBCb50Cfd6928337,0.02394994
0x0A90603084E6B81473951D3FC7ED94346d53591A,9.11E-05
0x0Ae3d5949202165584A270cbac7A733b0307a766,0.052001282
0x0B22F9E331FaEA856a73058F31768609CB34Ba48,0.03723902
0x0BB31C6278d58CfF41B7e8Ed3B20f76424fD69Ad,0.008269441
0x0BD796De8Aa0590Fe1E9485817B8E3cF396D4746,0.007263347
0x0CB5D3dC004b0c9E14D13ED9cC94c2fd219223Cb,7.58E-05
0x0E21B52F2921d66d8120287E162D3119c5065b26,0.000503121
0x0E8c4dFe752352327623f9D5878C16222e6089db,6.50E-06
0x0FdA6deE4165Ac4B07a144ae059DEFD639f29880,0.04732897
0x0a0be1f6F9cbF28B2b2380486FA9C8e532F8783B,0
0x0a8f4E308B17F836eAb6493F42E48ac07D30946D,0.051356875
0x0aE9C24C7bd068346547f9688701ce6021d8C4dD,0.000119118
0x0dcd149D8a0Bd20305E848DEc11E7A568f7B9209,0.000576167
0x0e821333caCD44ED6356e23b6CDF3534827b64F1,0.000802
0x0f0d49Fd19Ee4A83455D414F79DE823bED0b4351,0.000652509
0x0f8361eF329B43fA48aC66A7cD8F619C517274f1,0.003573576
0x0fb3565B50eea3d6EF1bfd60Ee2bb23FD7fC6F83,6.82E-05
0x115C5F9383DC31Fb06C4B5E457dfE24B399E2A99,0.000119117
0x11fbb9Cd85181A3c6e73528aBF1Fe244467DbE75,0.000503121
0x120532A36c2E0c75AE400989C2B176fe87e456D2,6.076733903
0x120EbFE81c44003cd5351731709e30f9681dAF74,0.039343056
0x1290475fAFA93A8327593027cfac756f629222b3,0.002278195
0x1318FBa089731549275532137F30ad878CeA9e49,0.014008941
0x14338086f9Da088cF2d67cC2D6aB689723B555Bd,0.000178798
0x14c99531C09d72bEE19e762956f577E95ffef918,0.000841856
0x162FBD227Db73c80B60dC59E94A5F37Fc492A017,0.018722968
0x168A9E6D755b79f72215D035a2773b2Ca7EC4daF,0.000663478
0x17170f119346c85E519CaB1b0901EE7A7c581D7b,0.002928497
0x1795C5d51eadd1D85482467d25dA72223c0D8413,0.014588993
0x18A164fa672FbCAA6083511d242D780f17136B02,0.002900875
0x19282E37B5319727501e9577D79dBCDF43803883,0.173304604
0x19F03A67035CF05C55DcB59Ff9c75C4b3A3338b5,0.000199109
0x19aCD0E64FD612F87E65d74C6c9aec8c39ac3887,13.51418089
0x1A60eB1065aEa0D4b78cE2859b6977Ac417D3Aab,0.000431845
0x1AFf278bC55857e4E727E326a00acf0995176fE0,0.000346722
0x1AbEf1717803CE81190aFA035a27Bc67F6Df395F,0.000761833
0x1B6c1169fE731d7E3868ab3b7aF9068c42bfa734,0.00068153
0x1B99f1E2B99E6a290047DD3525D1Ea6CCf0F0656,1.221571006
0x1Cd6a27aD851146b43b952C405F09A637A164018,0.001057559
0x1D2c4Cd9beE9DFe088430b95d274e765151C32db,3.294699599
0x1EF8A0024942433871BA035BF14E4015e7583a77,0.023143028
0x1F1356Ff901845f4A57f87cEDA516825b4F251f3,0.324242049
0x1a2F2405Ba4D5f3c68c413D136AD81617DBacF58,3.340654551
0x1c9cCc6aF267c3263ff1B1AdD613326C8b349916,0.000262791
0x1cA018C20FB01b40F7Dfa52258D620A6a0ed3769,9.96E-05
0x1ccb144B700EC726d37Db38c617E154De6d9c0d0,0.001267032
0x1dF4c04D9C4247bEdF051E73730C46A03C3d3050,0.015471203
0x1e59636DCBBE879f9DfDEf2ef40eB3178f723885,0.036532045
0x1ee1C3a8F574980348C4688B53849b2a9c72721f,0.000248149
0x1f259288aEfc9bBdbfD0cf0547A086326f59bD0c,0.12641303
0x20549E873311B008879Fd6020DF7037200959cf5,0.000516604
0x2117eB88300a5Afa11Ee55e3c4f2FF0157718bD1,0.003918121
0x214E4DD04AfDD148984ef3cB7B4E4959ebeB1f48,0.009507083
0x21C30d17D9e61Ce139DFd2A3d167C5752246b938,0.088424685
0x21c37Bb6411AF1cd2c3750Ff96FC9Bf5A2BFA9e4,0.001681256
0x21caa3351430944CB7f31998B0eb199bC2C3112C,0.002169735
0x227ba5CEcD72C261c297015C1114E050B6e50F5F,0.000662276
0x22f6EDb55790B0Fe841C5BA9aa30792ebcB55863,0.309447369
0x22f75714ce2d043036754a7D645E1BE1AFd43538,0.251517562
0x232a2749BE06e0E462C7a5264FEDfC38126a1fFc,0.02281989
0x24756c636B93F35f64f51cfaE29F6cDDD4d0bc17,0.000899109
0x24c30D92E1F64b9Dfe5Ceec4330D73e1E1380f25,0.059098635
0x24ea805a2403cf9c0602e35782B59Bc3DBCe87F3,0.015721739
0x2508fF6830171D770e7a4ab8b24C29Db1125a354,5.42E-06
0x25B9f3Bf60c74a7041115Cf6Fac3Dc3715b2a8Ee,0.07607526
0x25c4e04ea5B4fFf2dA67c4df3EEE4e12ff309e5E,0.000282668
0x26506afE2809266719E8557d3fdD4a0359295A7e,5.52E-05
0x265294a3abCd8Aacc36dAF3d15b9044b1f6B17AC,0.006621718
0x26FDc242eCCc144971e558FF458a4ec21B75D4E8,0.002771423
0x2795238cF91D1fdD2fB15F81D93a4470176D098C,6.64E-05
0x27B0FC6C4A5a0Cf213a570097279a5bde61214d2,0.005059285
0x28462AC6B9D85d675C7e88252742BbD794720799,0.000772199
0x285A14bB09f83Ca47836881BCf28f30b258c4196,0.022479123
0x28D5816F981C7C310c23dF37767e80Be67ce6113,0.467311135
0x29211f9b98b0AB9Ce4dB642ee4E90cec05d95A7a,0.001104563
